,origin_file,coches,personas,semáforos,city,year,label
0,berlin_000000_000019_leftImg8bit_20-10-2018.txt,8,0,0,berlin,2018,0
1,berlin_000001_000019_leftImg8bit_15-01-2018.txt,10,0,1,berlin,2018,0
2,berlin_000002_000019_leftImg8bit_30-11-2019.txt,5,1,1,berlin,2019,0
3,berlin_000003_000019_leftImg8bit_06-02-2018.txt,4,2,0,berlin,2018,0
4,berlin_000004_000019_leftImg8bit_27-12-2019.txt,8,1,0,berlin,2019,0
5,berlin_000005_000019_leftImg8bit_14-02-2017.txt,13,0,0,berlin,2017,0
6,berlin_000006_000019_leftImg8bit_06-10-2015.txt,12,0,1,berlin,2015,0
7,berlin_000007_000019_leftImg8bit_27-11-2019.txt,15,0,0,berlin,2019,0
8,berlin_000008_000019_leftImg8bit_12-02-2016.txt,11,0,0,berlin,2016,0
9,berlin_000009_000019_leftImg8bit_12-04-2017.txt,11,1,0,berlin,2017,0
10,berlin_000010_000019_leftImg8bit_17-09-2018.txt,13,1,1,berlin,2018,0
11,berlin_000011_000019_leftImg8bit_15-01-2019.txt,6,1,1,berlin,2019,0
12,berlin_000012_000019_leftImg8bit_03-01-2018.txt,9,0,0,berlin,2018,0
13,berlin_000013_000019_leftImg8bit_08-07-2019.txt,13,0,0,berlin,2019,0
14,berlin_000014_000019_leftImg8bit_18-05-2019.txt,15,0,0,berlin,2019,0
15,berlin_000015_000019_leftImg8bit_22-02-2019.txt,15,0,0,berlin,2019,0
16,berlin_000016_000019_leftImg8bit_08-08-2016.txt,14,2,1,berlin,2016,0
17,berlin_000017_000019_leftImg8bit_04-07-2019.txt,11,2,0,berlin,2019,0
18,berlin_000018_000019_leftImg8bit_30-07-2019.txt,20,0,0,berlin,2019,0
19,berlin_000019_000019_leftImg8bit_07-05-2015.txt,11,0,0,berlin,2015,0
20,berlin_000020_000019_leftImg8bit_12-07-2017.txt,5,4,0,berlin,2017,0
21,berlin_000021_000019_leftImg8bit_06-11-2016.txt,1,7,0,berlin,2016,0
22,berlin_000022_000019_leftImg8bit_30-01-2019.txt,8,0,1,berlin,2019,0
23,berlin_000023_000019_leftImg8bit_14-06-2017.txt,13,1,0,berlin,2017,0
24,berlin_000024_000019_leftImg8bit_21-04-2019.txt,6,3,0,berlin,2019,0
25,berlin_000025_000019_leftImg8bit_30-12-2019.txt,6,2,2,berlin,2019,0
26,berlin_000026_000019_leftImg8bit_19-02-2019.txt,12,0,0,berlin,2019,0
27,berlin_000027_000019_leftImg8bit_24-12-2017.txt,17,0,1,berlin,2017,0
28,berlin_000028_000019_leftImg8bit_25-06-2016.txt,11,0,0,berlin,2016,0
29,berlin_000029_000019_leftImg8bit_20-12-2019.txt,3,13,0,berlin,2019,0
30,berlin_000030_000019_leftImg8bit_05-06-2016.txt,11,0,0,berlin,2016,0
31,berlin_000031_000019_leftImg8bit_07-11-2015.txt,4,4,3,berlin,2015,0
32,berlin_000032_000019_leftImg8bit_04-08-2017.txt,6,3,1,berlin,2017,0
33,berlin_000033_000019_leftImg8bit_06-06-2017.txt,5,4,2,berlin,2017,0
34,berlin_000034_000019_leftImg8bit_26-09-2017.txt,9,4,0,berlin,2017,0
35,berlin_000035_000019_leftImg8bit_26-11-2016.txt,5,3,1,berlin,2016,0
36,berlin_000036_000019_leftImg8bit_08-01-2015.txt,6,3,0,berlin,2015,0
37,berlin_000037_000019_leftImg8bit_02-11-2016.txt,1,11,2,berlin,2016,0
38,berlin_000038_000019_leftImg8bit_18-07-2016.txt,1,9,2,berlin,2016,0
39,berlin_000039_000019_leftImg8bit_21-08-2015.txt,15,0,1,berlin,2015,0
40,berlin_000040_000019_leftImg8bit_11-01-2017.txt,4,7,0,berlin,2017,0
41,berlin_000041_000019_leftImg8bit_31-03-2019.txt,11,1,0,berlin,2019,0
42,berlin_000042_000019_leftImg8bit_22-04-2019.txt,8,2,0,berlin,2019,0
43,berlin_000043_000019_leftImg8bit_29-08-2016.txt,1,6,0,berlin,2016,0
44,berlin_000044_000019_leftImg8bit_04-12-2015.txt,5,1,0,berlin,2015,0
45,berlin_000045_000019_leftImg8bit_01-10-2017.txt,7,0,2,berlin,2017,0
46,berlin_000046_000019_leftImg8bit_29-11-2019.txt,6,0,0,berlin,2019,0
47,berlin_000047_000019_leftImg8bit_19-02-2017.txt,19,0,0,berlin,2017,0
48,berlin_000048_000019_leftImg8bit_20-11-2019.txt,12,0,0,berlin,2019,0
49,berlin_000049_000019_leftImg8bit_27-12-2016.txt,15,0,0,berlin,2016,0
50,berlin_000050_000019_leftImg8bit_17-07-2019.txt,12,1,0,berlin,2019,0
51,berlin_000051_000019_leftImg8bit_07-08-2018.txt,12,0,0,berlin,2018,0
52,berlin_000052_000019_leftImg8bit_22-11-2015.txt,4,7,0,berlin,2015,0
53,berlin_000053_000019_leftImg8bit_09-11-2016.txt,7,1,0,berlin,2016,0
54,berlin_000054_000019_leftImg8bit_10-11-2015.txt,20,0,0,berlin,2015,0
55,berlin_000055_000019_leftImg8bit_25-11-2017.txt,1,1,0,berlin,2017,0
56,berlin_000056_000019_leftImg8bit_09-03-2018.txt,6,0,0,berlin,2018,0
57,berlin_000057_000019_leftImg8bit_29-06-2018.txt,0,16,0,berlin,2018,0
58,berlin_000058_000019_leftImg8bit_29-12-2017.txt,0,11,0,berlin,2017,0
59,berlin_000059_000019_leftImg8bit_26-03-2016.txt,1,4,1,berlin,2016,0
60,berlin_000060_000019_leftImg8bit_10-08-2017.txt,2,4,1,berlin,2017,0
61,berlin_000061_000019_leftImg8bit_26-12-2018.txt,0,10,2,berlin,2018,0
62,berlin_000062_000019_leftImg8bit_01-07-2015.txt,0,7,0,berlin,2015,0
63,berlin_000063_000019_leftImg8bit_17-09-2018.txt,3,2,2,berlin,2018,0
64,berlin_000064_000019_leftImg8bit_14-02-2018.txt,0,4,0,berlin,2018,0
65,berlin_000065_000019_leftImg8bit_06-06-2019.txt,2,5,0,berlin,2019,0
66,berlin_000066_000019_leftImg8bit_23-08-2015.txt,5,0,0,berlin,2015,0
67,berlin_000067_000019_leftImg8bit_05-07-2017.txt,0,1,0,berlin,2017,0
68,berlin_000068_000019_leftImg8bit_07-08-2015.txt,1,1,0,berlin,2015,0
69,berlin_000069_000019_leftImg8bit_19-05-2016.txt,1,1,0,berlin,2016,0
70,berlin_000070_000019_leftImg8bit_04-12-2019.txt,5,1,0,berlin,2019,0
71,berlin_000071_000019_leftImg8bit_01-11-2015.txt,9,1,0,berlin,2015,0
72,berlin_000072_000019_leftImg8bit_29-05-2019.txt,10,2,0,berlin,2019,0
73,berlin_000073_000019_leftImg8bit_25-10-2019.txt,8,3,2,berlin,2019,0
74,berlin_000074_000019_leftImg8bit_11-03-2016.txt,3,0,0,berlin,2016,0
75,berlin_000075_000019_leftImg8bit_24-04-2015.txt,14,2,0,berlin,2015,0
76,berlin_000076_000019_leftImg8bit_07-05-2015.txt,8,2,0,berlin,2015,0
77,berlin_000077_000019_leftImg8bit_17-03-2018.txt,4,0,2,berlin,2018,0
78,berlin_000078_000019_leftImg8bit_10-03-2015.txt,2,3,1,berlin,2015,0
79,berlin_000079_000019_leftImg8bit_25-12-2019.txt,4,2,0,berlin,2019,0
80,berlin_000080_000019_leftImg8bit_12-03-2019.txt,6,3,1,berlin,2019,0
81,berlin_000081_000019_leftImg8bit_16-08-2018.txt,3,4,2,berlin,2018,0
82,berlin_000082_000019_leftImg8bit_08-07-2019.txt,11,1,0,berlin,2019,0
